cohort,block,model,mode,roc_auc,pr_auc,brier,precision,recall,specificity,f1,f2,thr,thr_policy,repeat,fold
antepartum,FULL,SVM,resampled,0.7369755647763947,0.341685275851019,0.11989897425080275,0.21052631578947367,0.8888888888888888,0.3775933609958506,0.3404255319148936,0.5405405405405406,0.09,recall+precision,2,2
antepartum,FULL,SVM,resampled,0.7521186440677965,0.4634492627167801,0.12872445817708864,0.27647058823529413,0.94,0.4788135593220339,0.42727272727272725,0.6351351351351351,0.09,recall+precision,2,3
antepartum,FULL,SVM,resampled,0.7565707133917396,0.38428565453441427,0.122890803296477,0.21393034825870647,0.9148936170212766,0.33613445378151263,0.3467741935483871,0.5526992287917738,0.09999999999999999,recall+precision,2,4
antepartum,FULL,SVM,resampled,0.782115196296626,0.3907716086259254,0.11929552809474052,0.22388059701492538,0.9574468085106383,0.3472803347280335,0.3629032258064516,0.5784061696658098,0.08,recall+precision,2,5
antepartum,FULL,RF,weighted,0.8194214876033057,0.5632856773276085,0.11919418423578125,0.23255813953488372,0.8888888888888888,0.45454545454545453,0.3686635944700461,0.5681818181818182,0.12,recall+precision,2,1
antepartum,FULL,RF,weighted,0.7502996772706316,0.43993138982410807,0.11860407697489238,0.22043010752688172,0.9111111111111111,0.3983402489626556,0.354978354978355,0.5601092896174863,0.11,recall+precision,2,2
antepartum,FULL,RF,weighted,0.7816949152542373,0.5376939301994985,0.12907041696143906,0.23880597014925373,0.96,0.3516949152542373,0.38247011952191234,0.5985037406483791,0.09999999999999999,recall+precision,2,3
antepartum,FULL,RF,weighted,0.7844627212587162,0.4390067093625531,0.12216056841595328,0.21800947867298578,0.9787234042553191,0.3067226890756303,0.35658914728682173,0.5764411027568922,0.11,recall+precision,2,4
antepartum,FULL,RF,weighted,0.8080655212320841,0.46380170340855476,0.12029601627291084,0.23195876288659795,0.9574468085106383,0.37656903765690375,0.37344398340248963,0.5890052356020943,0.11,recall+precision,2,5
antepartum,FULL,RF,resampled,0.8099632690541781,0.4918669806115288,0.11933474873470339,0.22826086956521738,0.9333333333333333,0.4132231404958678,0.36681222707423583,0.5769230769230769,0.12,recall+precision,2,1
antepartum,FULL,RF,resampled,0.7539880129091747,0.44607589504565853,0.11766758756409927,0.22033898305084745,0.8666666666666667,0.42738589211618255,0.35135135135135137,0.5462184873949579,0.11,recall+precision,2,2
